customer_id,order_date,amount,channel,category
1,2024-10-21,131.37,in_store,home
1,2024-11-15,86.35,in_store,apparel
1,2024-12-18,70.36,mobile_app,apparel
1,2024-09-01,135.5,mobile_app,home
1,2024-12-27,65.34,mobile_app,grocery
1,2024-09-20,91.43,web,apparel
1,2024-11-20,169.33,mobile_app,electronics
1,2024-10-05,56.8,web,beauty
1,2024-10-02,183.83,web,beauty
1,2024-08-27,124.11,mobile_app,home
2,2024-11-09,83.54,in_store,apparel
2,2024-10-14,20.33,web,home
2,2024-11-16,32.28,mobile_app,grocery
2,2024-11-14,64.04,web,apparel
2,2024-10-20,15.14,web,electronics
2,2024-12-23,65.11,mobile_app,apparel
2,2024-10-25,32.39,web,home
2,2024-12-28,13.09,in_store,electronics
3,2024-08-07,19.7,mobile_app,grocery
3,2024-07-26,63.05,web,apparel
3,2024-12-03,48.44,mobile_app,home
3,2024-10-18,129.46,web,grocery
3,2024-09-06,54.1,web,grocery
3,2024-07-14,119.88,web,home
3,2024-12-17,33.34,mobile_app,home
3,2024-06-20,10.94,mobile_app,electronics
3,2024-07-02,159.55,in_store,electronics
3,2024-10-07,4.16,web,apparel
3,2024-09-27,27.36,in_store,electronics
3,2024-12-11,40.43,web,grocery
4,2024-10-01,11.18,in_store,electronics
4,2024-10-28,9.4,web,beauty
5,2024-12-05,109.59,mobile_app,apparel
5,2024-12-10,62.8,web,electronics
5,2024-12-29,12.4,in_store,beauty
5,2024-12-02,33.53,in_store,electronics
5,2024-12-03,20.84,in_store,apparel
5,2024-12-14,40.27,web,home
6,2024-11-18,86.65,web,beauty
6,2024-07-04,65.46,web,electronics
6,2024-03-31,67.72,web,apparel
6,2024-12-19,38.34,mobile_app,beauty
6,2024-11-11,49.12,in_store,electronics
6,2024-04-10,21.72,mobile_app,apparel
6,2024-09-06,57.98,in_store,grocery
6,2024-05-07,4.05,mobile_app,grocery
6,2024-12-10,177.67,web,beauty
6,2024-12-08,42.57,mobile_app,apparel
6,2024-08-04,13.64,in_store,home
6,2024-12-19,15.55,web,electronics
6,2024-04-19,18.97,in_store,beauty
7,2024-05-24,29.41,web,beauty
7,2024-06-04,21.7,in_store,apparel
8,2024-01-18,25.34,in_store,home
8,2024-02-22,29.58,in_store,electronics
8,2024-10-23,7.56,mobile_app,beauty
